index	language	glottocode	iso	word_forms	colexification_type	source_domain	target_domain	source_concept_ID	target_concept_ID	source_concept_definition	target_concept_definition	source_translation_in_English	target_translation_in_English	macro_area	language_family	latitude	longitude
3894	Standard Malay	stan1306	zsm	pakaian ; berpakaian	partial	object	action	n03051540	v00046534	a covering designed to be worn on a person's body	put on clothes	habiliment	dress	Eurasia	Austronesian	3.08896	101.699
3895	Italian	ital1282	ita	vestire ; vestiario	partial	object	action	n03051540	v00046534	a covering designed to be worn on a person's body	put on clothes	habiliment	dress	Eurasia	Indo-European	43.0464	12.6489
3896	Italian	ital1282	ita	vestire ; vestirsi	partial	object	action	n03051540	v00046534	a covering designed to be worn on a person's body	put on clothes	habiliment	dress	Eurasia	Indo-European	43.0464	12.6489
3897	Italian	ital1282	ita	vestire ; vestito	partial	object	action	n03051540	v00046534	a covering designed to be worn on a person's body	put on clothes	habiliment	dress	Eurasia	Indo-European	43.0464	12.6489
3898	Italian	ital1282	ita	vestito ; vestirsi	partial	object	action	n03051540	v00046534	a covering designed to be worn on a person's body	put on clothes	habiliment	dress	Eurasia	Indo-European	43.0464	12.6489
3899	Standard Indonesian	indo1316	ind	pakaian ; berpakaian	partial	object	action	n03051540	v00046534	a covering designed to be worn on a person's body	put on clothes	habiliment	dress	Papunesia	Austronesian	-7.33458	109.716
3900	Standard Indonesian	indo1316	ind	busana ; berbusana	partial	object	action	n03051540	v00046534	a covering designed to be worn on a person's body	put on clothes	habiliment	dress	Papunesia	Austronesian	-7.33458	109.716
3901	Romanian	roma1327	ron	veșmânt ; |se| înveșmânta	partial	object	action	n03051540	v00046534	a covering designed to be worn on a person's body	put on clothes	habiliment	dress	Eurasia	Indo-European	46.3913	24.2256
3902	Standard Arabic	stan1318	arb	لبس ; ألبسة	partial	object	action	n03051540	v00046534	a covering designed to be worn on a person's body	put on clothes	habiliment	dress	Eurasia	Afro-Asiatic	27.9625	43.8525
3904	English	stan1293	eng	button	full	instrument	action	n02928608	v01367862	a round fastener sewn to shirts and coats etc to fit through buttonholes	fasten with buttons	button	button	Africa;Eurasia;South America	Indo-European	53	-1
3905	English	stan1293	eng	button	full	instrument	action	n02928608	v01368126	a round fastener sewn to shirts and coats etc to fit through buttonholes	provide with buttons	button	button	Africa;Eurasia;South America	Indo-European	53	-1
3906	English	stan1293	eng	buttress	full	object	action	n02929289	v00222861	a support usually of stone or brick; supports the wall of a building	reinforce with a buttress	supporting	buttress	Africa;Eurasia;South America	Indo-European	53	-1
3907	English	stan1293	eng	cab	full	instrument	action	n02930766	v01949007	a car driven by a person whose job is to take passengers where they want to go in exchange for money	ride in a taxicab	taxicab	cab	Africa;Eurasia;South America	Indo-European	53	-1
3908	English	stan1293	eng	cabin	full	object	action	n02932019	v01302577	the enclosed compartment of an aircraft or spacecraft where passengers are carried	confine to a small space, such as a cabin	cabin	cabin	Africa;Eurasia;South America	Indo-European	53	-1
3909	English	stan1293	eng	cabin	full	object	action	n02932227	v01302577	small room on a ship or boat where people sleep	confine to a small space, such as a cabin	cabin	cabin	Africa;Eurasia;South America	Indo-European	53	-1
3910	English	stan1293	eng	cabin	full	object	action	n02932400	v01302577	a small house built of wood; usually in a wooded area	confine to a small space, such as a cabin	cabin	cabin	Africa;Eurasia;South America	Indo-European	53	-1
3912	English	stan1293	eng	cloth ; clothe	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Africa;Eurasia;South America	Indo-European	53	-1
3913	English	stan1293	eng	cloth ; enclothe	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Africa;Eurasia;South America	Indo-European	53	-1
3914	Mongolian	mong1331	mon	хувцас ; хувцаслах	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Mongolic-Khitan	45.77047900000001	87.25413566666667
3915	Bengali	beng1280	ben	পরিধান ; পরিধান করানো	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Indo-European	24	90
3916	Urdu	urdu1245	urd	پہناوا ; پہنانا	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Indo-European	25	67
3917	Standard Malay	stan1306	zsm	pakaian ; berpakaian	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Austronesian	3.08896	101.699
3918	Italian	ital1282	ita	vestire ; vestiario	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Indo-European	43.0464	12.6489
3919	Italian	ital1282	ita	vestire ; vestirsi	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Indo-European	43.0464	12.6489
3920	Italian	ital1282	ita	vestire ; vestito	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Indo-European	43.0464	12.6489
3921	Italian	ital1282	ita	vestito ; vestirsi	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Indo-European	43.0464	12.6489
3922	Standard Indonesian	indo1316	ind	pakaian ; berpakaian	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Papunesia	Austronesian	-7.33458	109.716
3923	Finnish	finn1318	fin	vaatetus ; hankkia vaatetus	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Uralic	64.7628	25.5577
3924	Finnish	finn1318	fin	vaate ; vaatettaa	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Uralic	64.7628	25.5577
3925	Japanese	nucl1643	jpn	衣服 ; 衣服を着せる	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Japonic	35	135
3926	Tamil	tami1289	tam	ஆடை ; ஆடையணி	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Dravidian	10.520219	78.825989
3927	Tamil	tami1289	tam	உடை ; உடையணி	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Dravidian	10.520219	78.825989
3928	Telugu	telu1262	tel	బట్టలు ; బట్టలు వేసుకొను	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Dravidian	16.4529	78.7024
3929	Standard Arabic	stan1318	arb	كِسْوة ; قدّم كِسْوة	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Afro-Asiatic	27.9625	43.8525
3930	Standard Arabic	stan1318	arb	لبس ; ألبسة	partial	object	action	n03051540	v00047945	a covering designed to be worn on a person's body	provide with clothes or put clothes on	habiliment	dress	Eurasia	Afro-Asiatic	27.9625	43.8525
3932	English	stan1293	eng	cable	full	object	action	n02933842	v01288921	a very strong thick rope made of twisted hemp or steel wire	fasten with a cable	cable	cable	Africa;Eurasia;South America	Indo-European	53	-1
3933	English	stan1293	eng	cable	full	instrument	action	n02934168	v01007222	a conductor for transmitting electrical or optical signals or electric power	send cables, wires, or telegrams	line	cable	Africa;Eurasia;South America	Indo-European	53	-1
3935	English	stan1293	eng	wear ; wearable	partial	object	action	n03051540	v00050652	a covering designed to be worn on a person's body	put clothing on one's body	habiliment	wear	Africa;Eurasia;South America	Indo-European	53	-1
3936	Northern Tosk Albanian	tosk1239	als	rroba ; futem në rroba	partial	object	action	n03051540	v00050652	a covering designed to be worn on a person's body	put clothing on one's body	habiliment	wear	Eurasia	Indo-European	41	20
3937	Italian	ital1282	ita	vestire ; vestiario	partial	object	action	n03051540	v00050652	a covering designed to be worn on a person's body	put clothing on one's body	habiliment	wear	Eurasia	Indo-European	43.0464	12.6489
3938	Italian	ital1282	ita	vestire ; vestito	partial	object	action	n03051540	v00050652	a covering designed to be worn on a person's body	put clothing on one's body	habiliment	wear	Eurasia	Indo-European	43.0464	12.6489
3939	Standard Arabic	stan1318	arb	لبس ; ألبسة	partial	object	action	n03051540	v00050652	a covering designed to be worn on a person's body	put clothing on one's body	habiliment	wear	Eurasia	Afro-Asiatic	27.9625	43.8525
3940	Scottish Gaelic	scot1245	gla	cac	full	substance	action	n14854581	v00074038	obscene terms for feces	have a bowel movement	dirt	take a crap	Eurasia	Indo-European	56.7574	-5.24366
3941	English	stan1293	eng	caddie	full	agent	action	n09886403	v01096860	an attendant who carries the golf clubs for a player	act as a caddie and carry clubs for a player	golf caddie	caddie	Africa;Eurasia;South America	Indo-European	53	-1
3943	English	stan1293	eng	cage	full	object	action	n02936714	v02496036	an enclosure made or wire or metal bars in which birds or animals can be kept	confine in a cage	cage	cage in	Africa;Eurasia;South America	Indo-European	53	-1
3944	English	stan1293	eng	cage	full	action	result	v02496036	n13998966	confine in a cage	something that restricts freedom as a cage restricts movement	cage in	cage	Africa;Eurasia;South America	Indo-European	53	-1
3945	English	stan1293	eng	wear ; wearable	partial	object	action	n03051540	v00052374	a covering designed to be worn on a person's body	be dressed in	habiliment	have on	Africa;Eurasia;South America	Indo-European	53	-1
3946	Standard Malay	stan1306	zsm	pakaian ; berpakaian	partial	object	action	n03051540	v00052374	a covering designed to be worn on a person's body	be dressed in	habiliment	have on	Eurasia	Austronesian	3.08896	101.699
3947	Italian	ital1282	ita	vestire ; vestiario	partial	object	action	n03051540	v00052374	a covering designed to be worn on a person's body	be dressed in	habiliment	have on	Eurasia	Indo-European	43.0464	12.6489
3948	Italian	ital1282	ita	vestire ; vestito	partial	object	action	n03051540	v00052374	a covering designed to be worn on a person's body	be dressed in	habiliment	have on	Eurasia	Indo-European	43.0464	12.6489
3949	Standard Indonesian	indo1316	ind	pakaian ; berpakaian	partial	object	action	n03051540	v00052374	a covering designed to be worn on a person's body	be dressed in	habiliment	have on	Papunesia	Austronesian	-7.33458	109.716
3950	Standard Arabic	stan1318	arb	لبس ; ألبسة	partial	object	action	n03051540	v00052374	a covering designed to be worn on a person's body	be dressed in	habiliment	have on	Eurasia	Afro-Asiatic	27.9625	43.8525
3951	Standard Arabic	stan1318	arb	ردي ; أردية	partial	object	action	n03051540	v00052374	a covering designed to be worn on a person's body	be dressed in	habiliment	have on	Eurasia	Afro-Asiatic	27.9625	43.8525
3953	Serbian-Croatian-Bosnian	sout1528	hrv	batina ; batinati	partial	instrument	action	n03053474	v01423929	stout stick that is larger at one end	strike with a club or a bludgeon	club	bludgeon	Eurasia	Indo-European	44.15	18.81
3954	Catalan	stan1289	cat	garrot ; garrotejar	partial	instrument	action	n03053474	v01423929	stout stick that is larger at one end	strike with a club or a bludgeon	club	bludgeon	Eurasia	Indo-European	41.453	1.569
3955	Finnish	finn1318	fin	nuija ; nuijia	partial	instrument	action	n03053474	v01423929	stout stick that is larger at one end	strike with a club or a bludgeon	club	bludgeon	Eurasia	Uralic	64.7628	25.5577
3956	English	stan1293	eng	club	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Africa;Eurasia;South America	Indo-European	53	-1
3957	Northern Tosk Albanian	tosk1239	als	klub	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	41	20
3958	Serbian-Croatian-Bosnian	sout1528	hrv	klub	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	44.15	18.81
3959	Basque	basq1248	eus	klub	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia		43.2787	-1.31622
3960	Spanish	stan1288	spa	club	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	40.4414	-1.11788
3961	Spanish	stan1288	spa	clube	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	40.4414	-1.11788
3962	Polish	poli1260	pol	klub	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	51.8439	18.6255
3963	Portuguese	port1283	por	clube	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	39.91	-8.1
3964	Standard Malay	stan1306	zsm	kelab	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Austronesian	3.08896	101.699
3965	Italian	ital1282	ita	circolo	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	43.0464	12.6489
3966	Italian	ital1282	ita	club	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	43.0464	12.6489
3967	Catalan	stan1289	cat	club	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	41.453	1.569
3968	Modern Greek	mode1248	ell	λέσχη	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	38.36	23.13
3969	Standard Indonesian	indo1316	ind	kelab	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Papunesia	Austronesian	-7.33458	109.716
3970	Slovenian	slov1268	slv	klub	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	46.2543	14.7766
3971	French	stan1290	fra	club	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	48	2
3972	Thai	thai1261	tha	สโมสร	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Tai-Kadai	14.192	100.671
3973	Thai	thai1261	tha	คลับ	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Tai-Kadai	14.192	100.671
3974	Finnish	finn1318	fin	klubi	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Uralic	64.7628	25.5577
3975	Romanian	roma1327	ron	club	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	46.3913	24.2256
3976	Xhosa	xhos1239	xho	iklabhu	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Africa	Atlantic-Congo	-31.0389	28.0769
3977	Tswana	tswa1253	tsn	tlelapa	full	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Africa	Atlantic-Congo	-24.368	24.7587
3978	English	stan1293	eng	club ; social club	partial	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Africa;Eurasia;South America	Indo-European	53	-1
3979	English	stan1293	eng	club ; clubhouse	partial	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Africa;Eurasia;South America	Indo-European	53	-1
3980	Spanish	stan1288	spa	club ; clube	partial	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	40.4414	-1.11788
3981	Spanish	stan1288	spa	club ; clube	partial	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Indo-European	40.4414	-1.11788
3982	Thai	thai1261	tha	คลับ ; คลับเฮาส์	partial	building	people	n03054311	n08227214	a building that is occupied by a social club	a formal association of people with similar interests	club	gild	Eurasia	Tai-Kadai	14.192	100.671
3984	English	stan1293	eng	coach ; coach-and-four	partial	instrument	action	n03055670	v01931262	a carriage pulled by four horses with one driver	drive a coach	carriage	coach	Africa;Eurasia;South America	Indo-European	53	-1
3985	Zulu	zulu1248	zul	ikalishi ; ukushayela ikalishi	partial	instrument	action	n03055670	v01931262	a carriage pulled by four horses with one driver	drive a coach	carriage	coach	Africa	Atlantic-Congo	-28.9	30.2
3987	English	stan1293	eng	coat ; coating	partial	object	action	n03058107	v00051511	a thin layer covering something	cover or provide with a coat	coating	coat	Africa;Eurasia;South America	Indo-European	53	-1
3989	English	stan1293	eng	coat ; coating	partial	object	action	n03058107	v01262321	a thin layer covering something	form a coat over	coating	coat	Africa;Eurasia;South America	Indo-European	53	-1
3994	English	stan1293	eng	coat ; coating	partial	object	action	n03058107	v01264283	a thin layer covering something	put a coat on; cover the surface of; furnish with a surface	coating	coat	Africa;Eurasia;South America	Indo-European	53	-1
3995	Serbian-Croatian-Bosnian	sout1528	hrv	premaz ; premazati	partial	object	action	n03058107	v01264283	a thin layer covering something	put a coat on; cover the surface of; furnish with a surface	coating	coat	Eurasia	Indo-European	44.15	18.81
3996	Serbian-Croatian-Bosnian	sout1528	hrv	premaz ; premazivati	partial	object	action	n03058107	v01264283	a thin layer covering something	put a coat on; cover the surface of; furnish with a surface	coating	coat	Eurasia	Indo-European	44.15	18.81
3997	Standard Malay	stan1306	zsm	lapis ; melapisi	partial	object	action	n03058107	v01264283	a thin layer covering something	put a coat on; cover the surface of; furnish with a surface	coating	coat	Eurasia	Austronesian	3.08896	101.699
3998	Standard Malay	stan1306	zsm	lapis ; melapis	partial	object	action	n03058107	v01264283	a thin layer covering something	put a coat on; cover the surface of; furnish with a surface	coating	coat	Eurasia	Austronesian	3.08896	101.699
3999	Standard Indonesian	indo1316	ind	lapis ; melapisi	partial	object	action	n03058107	v01264283	a thin layer covering something	put a coat on; cover the surface of; furnish with a surface	coating	coat	Papunesia	Austronesian	-7.33458	109.716
4000	Standard Indonesian	indo1316	ind	lapis ; melapis	partial	object	action	n03058107	v01264283	a thin layer covering something	put a coat on; cover the surface of; furnish with a surface	coating	coat	Papunesia	Austronesian	-7.33458	109.716
4001	Japanese	nucl1643	jpn	コーティング ; コーティング+する	partial	object	action	n03058107	v01264283	a thin layer covering something	put a coat on; cover the surface of; furnish with a surface	coating	coat	Eurasia	Japonic	35	135
4002	Italian	ital1282	ita	pietra	full	substance	artifact	n14696793	n03059528	material consisting of the aggregate of minerals like those making up the Earth's crust	rectangular paving stone with curved top; once used to make roads	rock	pebble	Eurasia	Indo-European	43.0464	12.6489
4003	Romanian	roma1327	ron	piatră	full	substance	artifact	n14696793	n03059528	material consisting of the aggregate of minerals like those making up the Earth's crust	rectangular paving stone with curved top; once used to make roads	rock	pebble	Eurasia	Indo-European	46.3913	24.2256
4004	English	stan1293	eng	stone ; cobblestone	partial	substance	artifact	n14696793	n03059528	material consisting of the aggregate of minerals like those making up the Earth's crust	rectangular paving stone with curved top; once used to make roads	rock	pebble	Africa;Eurasia;South America	Indo-European	53	-1
4005	Basque	basq1248	eus	harri ; galtzada-harri	partial	substance	artifact	n14696793	n03059528	material consisting of the aggregate of minerals like those making up the Earth's crust	rectangular paving stone with curved top; once used to make roads	rock	pebble	Eurasia		43.2787	-1.31622
4006	Thai	thai1261	tha	หิน ; หินปูถนน	partial	substance	artifact	n14696793	n03059528	material consisting of the aggregate of minerals like those making up the Earth's crust	rectangular paving stone with curved top; once used to make roads	rock	pebble	Eurasia	Tai-Kadai	14.192	100.671
4007	Finnish	finn1318	fin	kivi ; nupukivi	partial	substance	artifact	n14696793	n03059528	material consisting of the aggregate of minerals like those making up the Earth's crust	rectangular paving stone with curved top; once used to make roads	rock	pebble	Eurasia	Uralic	64.7628	25.5577
4008	Japanese	nucl1643	jpn	石 ; 丸石	partial	substance	artifact	n14696793	n03059528	material consisting of the aggregate of minerals like those making up the Earth's crust	rectangular paving stone with curved top; once used to make roads	rock	pebble	Eurasia	Japonic	35	135
4009	Japanese	nucl1643	jpn	石 ; 栗石	partial	substance	artifact	n14696793	n03059528	material consisting of the aggregate of minerals like those making up the Earth's crust	rectangular paving stone with curved top; once used to make roads	rock	pebble	Eurasia	Japonic	35	135
4011	English	stan1293	eng	cobble ; cobblestone	partial	object	action	n03059528	v01267475	rectangular paving stone with curved top; once used to make roads	pave with cobblestones	pebble	cobble	Africa;Eurasia;South America	Indo-European	53	-1
4012	Farsic-Caucasian Tat	fars1254	fas	سنگ فرش ; سنگ فرش کردن	partial	object	action	n03059528	v01267475	rectangular paving stone with curved top; once used to make roads	pave with cobblestones	pebble	cobble	Eurasia	Indo-European	37.24538474190638	50.26938429326292
4013	Japanese	nucl1643	jpn	栗石 ; 栗石+する	partial	object	action	n03059528	v01267475	rectangular paving stone with curved top; once used to make roads	pave with cobblestones	pebble	cobble	Eurasia	Japonic	35	135
4014	Mongolian	mong1331	mon	хайрцаг	full	container	contained	n03064350	n13765624	a chest especially for storing valuables	the quantity contained in a box	coffer	box	Eurasia	Mongolic-Khitan	45.77047900000001	87.25413566666667
4015	Standard Malay	stan1306	zsm	kotak	full	container	contained	n03064350	n13765624	a chest especially for storing valuables	the quantity contained in a box	coffer	box	Eurasia	Austronesian	3.08896	101.699
4016	Standard Indonesian	indo1316	ind	kotak	full	container	contained	n03064350	n13765624	a chest especially for storing valuables	the quantity contained in a box	coffer	box	Papunesia	Austronesian	-7.33458	109.716
4017	English	stan1293	eng	calcimine	full	object	action	n02938321	v01269988	a water-base paint containing zinc oxide and glue and coloring; used as a wash for walls and ceilings	cover with calcimine	calcimine	calcimine	Africa;Eurasia;South America	Indo-European	53	-1
4018	Thai	thai1261	tha	โลง ; ใส่โลง	partial	instrument	action	n03064758	v01499948	box in which a corpse is buried or cremated	place into a coffin	casket	coffin	Eurasia	Tai-Kadai	14.192	100.671
4019	Finnish	finn1318	fin	ruumisarkku ; panna ruumisarkkuun	partial	instrument	action	n03064758	v01499948	box in which a corpse is buried or cremated	place into a coffin	casket	coffin	Eurasia	Uralic	64.7628	25.5577
4020	Romanian	roma1327	ron	coșciug ; puneîncoșciug	partial	instrument	action	n03064758	v01499948	box in which a corpse is buried or cremated	place into a coffin	casket	coffin	Eurasia	Indo-European	46.3913	24.2256
4021	Romanian	roma1327	ron	sicriu ; puneînsicriu	partial	instrument	action	n03064758	v01499948	box in which a corpse is buried or cremated	place into a coffin	casket	coffin	Eurasia	Indo-European	46.3913	24.2256
4022	English	stan1293	eng	calender	full	instrument	action	n02939565	v01391095	a machine that smooths or glazes paper or cloth by pressing it between plates or passing it through rollers	press between rollers or plates so as to smooth, glaze, or thin into sheets	calender	calender	Africa;Eurasia;South America	Indo-European	53	-1
4023	Thai	thai1261	tha	โลง ; ปิดฝาโลง	partial	instrument	action	n03064758	v01599539	box in which a corpse is buried or cremated	enclose in a casket	casket	casket	Eurasia	Tai-Kadai	14.192	100.671
4024	English	stan1293	eng	caliper	full	instrument	action	n02939866	v00647770	an instrument for measuring the distance between two points (often used in the plural)	measure the diameter of something with calipers	caliper	calliper	Africa;Eurasia;South America	Indo-European	53	-1
4025	English	stan1293	eng	calk	full	object	action	n02940143	v01358191	a metal cleat on the bottom front of a horseshoe to prevent slipping	provide with calks	calk	calk	Africa;Eurasia;South America	Indo-European	53	-1
4026	English	stan1293	eng	calliper	full	instrument	action	n02939866	v00647770	an instrument for measuring the distance between two points (often used in the plural)	measure the diameter of something with calipers	caliper	calliper	Africa;Eurasia;South America	Indo-European	53	-1
4027	English	stan1293	eng	callus	full	action	result	v00255752	n14363785	form a callus or calluses	bony tissue formed during the healing of a fractured bone	callus	callus	Africa;Eurasia;South America	Indo-European	53	-1
4028	Basque	basq1248	eus	kiribil ; kiribildu	partial	object	action	n13560191	v01523986	a structure consisting of something wound in a continuous series of loops	wind around something in coils or loops	whorl	coil	Eurasia		43.2787	-1.31622
4029	Standard Malay	stan1306	zsm	gelung ; menggelung	partial	object	action	n13560191	v01523986	a structure consisting of something wound in a continuous series of loops	wind around something in coils or loops	whorl	coil	Eurasia	Austronesian	3.08896	101.699
4030	Standard Malay	stan1306	zsm	gelung ; bergelung	partial	object	action	n13560191	v01523986	a structure consisting of something wound in a continuous series of loops	wind around something in coils or loops	whorl	coil	Eurasia	Austronesian	3.08896	101.699
4031	Standard Indonesian	indo1316	ind	gelung ; menggelung	partial	object	action	n13560191	v01523986	a structure consisting of something wound in a continuous series of loops	wind around something in coils or loops	whorl	coil	Papunesia	Austronesian	-7.33458	109.716
4032	Standard Indonesian	indo1316	ind	gelung ; bergelung	partial	object	action	n13560191	v01523986	a structure consisting of something wound in a continuous series of loops	wind around something in coils or loops	whorl	coil	Papunesia	Austronesian	-7.33458	109.716
4033	Japanese	nucl1643	jpn	巻き ; 巻きつける	partial	object	action	n13560191	v01523986	a structure consisting of something wound in a continuous series of loops	wind around something in coils or loops	whorl	coil	Eurasia	Japonic	35	135
4034	Japanese	nucl1643	jpn	巻 ; 巻く	partial	object	action	n13560191	v01523986	a structure consisting of something wound in a continuous series of loops	wind around something in coils or loops	whorl	coil	Eurasia	Japonic	35	135
4035	English	stan1293	eng	callus	full	action	result	v00255880	n14363785	cause a callus to form on	bony tissue formed during the healing of a fractured bone	callus	callus	Africa;Eurasia;South America	Indo-European	53	-1
4036	English	stan1293	eng	callus	full	action	result	v00255752	n14364566	form a callus or calluses	an area of skin that is thick or hard from continual pressure or friction (as the sole of the foot)	callus	callus	Africa;Eurasia;South America	Indo-European	53	-1
4037	English	stan1293	eng	callus	full	action	result	v00255880	n14364566	cause a callus to form on	an area of skin that is thick or hard from continual pressure or friction (as the sole of the foot)	callus	callus	Africa;Eurasia;South America	Indo-European	53	-1
4039	English	stan1293	eng	camouflage	full	object	action	n02944459	v02158896	device or stratagem for concealment or deceit	disguise by camouflaging; exploit the natural surroundings to disguise something	camouflage	camouflage	Africa;Eurasia;South America	Indo-European	53	-1
4040	English	stan1293	eng	camouflage	full	object	action	n02944579	v02158896	fabric dyed with splotches of green and brown and black and tan; intended to make the wearer of a garment made of this fabric hard to distinguish from the background	disguise by camouflaging; exploit the natural surroundings to disguise something	camouflage	camouflage	Africa;Eurasia;South America	Indo-European	53	-1
4041	English	stan1293	eng	camp	full	object	action	n02944826	v01514248	temporary living quarters specially built by the army for soldiers	establish or set up a camp	barrack	camp down	Africa;Eurasia;South America	Indo-European	53	-1
4042	English	stan1293	eng	camp	full	object	action	n02944826	v02653996	temporary living quarters specially built by the army for soldiers	live in or as if in a tent	barrack	encamp	Africa;Eurasia;South America	Indo-European	53	-1
4043	Thai	thai1261	tha	เหล็กสกัด	full	substance	artifact	n14809756	n03067212	steel used in making chisels	narrow chisel made of steel; used to cut stone or bricks	chisel steel	set chisel	Eurasia	Tai-Kadai	14.192	100.671
4044	English	stan1293	eng	camp	full	object	action	n02945161	v01514248	temporary lodgings in the country for travelers or vacationers	establish or set up a camp	camp	camp down	Africa;Eurasia;South America	Indo-European	53	-1
4045	English	stan1293	eng	camp	full	object	action	n02945161	v02653996	temporary lodgings in the country for travelers or vacationers	live in or as if in a tent	camp	encamp	Africa;Eurasia;South America	Indo-European	53	-1
4046	Spanish	stan1288	spa	collar ; poner el collar	partial	object	action	n04680752	v01215694	a band of leather or rope that is placed around an animal's neck as a harness or to identify it	furnish with a collar	collar	collar	Eurasia	Indo-European	40.4414	-1.11788
4047	French	stan1290	fra	col ; collier	partial	object	action	n04680752	v01215694	a band of leather or rope that is placed around an animal's neck as a harness or to identify it	furnish with a collar	collar	collar	Eurasia	Indo-European	48	2
